times,Y_label,gas_v,mole
20.0,0.0,0.0,37.53731632232666
290.99005,0.0,8.167349824776335e-06,37.52487754821777
561.9713,0.0,1.6539922388398038e-05,37.512481689453125
832.93506,0.0,2.4612212883487467e-05,37.50004005432129
1103.8727,0.0,3.2689085261738796e-05,37.48759365081787
1374.7753,0.0,4.085193052287881e-05,37.47516632080078
1645.6343,0.0,4.920088374354322e-05,37.462799072265625
1916.4408,1.587691083225297e-05,5.756421655878436e-05,37.44361400604248
2187.1863,3.856791504687194e-05,6.593950980745807e-05,37.4214391708374
2457.8618,6.125305710815047e-05,7.432267301752445e-05,37.39921760559082
2728.459,8.393163110233552e-05,8.277324226412306e-05,37.37696170806885
2998.9688,0.00010660287996250355,9.226858283037938e-05,37.35496234893799
3269.3826,0.0001292660875442674,0.00010177187167336909,37.33292007446289
3539.692,0.00015192053770323995,0.00011128288793836161,37.31082820892334
3809.888,0.00017456549383376582,0.00012080136817334406,37.2886905670166
4079.9622,0.00019720023979145793,0.00013032702936071583,37.26650810241699
4349.9062,0.0002198240798931973,0.0001398596599884561,37.24428176879883
4619.7104,0.00024243619568825578,0.00014939895457424712,37.22200870513916
4889.367,0.00026503595287731904,0.00015884462637316037,37.19972038269043
5158.868,0.0002876226557772682,0.00016817177829489443,37.17741012573242
5428.204,0.0003101955268599114,0.0001775046704509234,37.15505886077881
5697.3667,0.0003327538704421298,0.00018684302192020183,37.13267135620117
5966.3477,0.00035529699084080443,0.00019618663562678075,37.11024284362793
6235.138,0.00037782415145027996,0.00020553519895370563,37.0877799987793
6503.73,0.00040033465658743743,0.00021488848630542062,37.06527900695801
6772.114,0.0004228277287240851,0.00022424623080896097,37.04273796081543
7040.283,0.00044530283586724967,0.00023434424847765693,37.020487785339355
7308.2275,0.00046775907772113014,0.00024462667427669216,36.998284339904785
7575.9395,0.0004901958404476804,0.0002549128663794337,36.97604846954346
7843.4116,0.0005126125102088544,0.0002652026083761069,36.95377826690674
8110.6343,0.0005350082685539239,0.00027549540206684087,36.93149375915527
8377.601,0.0005573825425673792,0.0002857911406411162,36.90917682647705
8644.301,0.0005797345137984921,0.00029608945540100757,36.88683319091797
8910.728,0.0006020635684092165,0.00030654480125486287,36.86451721191406
9176.871,0.0006243688879488244,0.00031821129433538315,36.842594146728516
9442.726,0.0006466499813468787,0.0003298793774017684,36.82065200805664
9708.282,0.0006689061119977242,0.0003415485798567115,36.798699378967285
9973.535,0.0006911367888309238,0.0003532188371551312,36.7767219543457
10238.471,0.0007133408660154584,0.0003648894641558635,36.75473117828369
10503.083,0.0007355178524808908,0.000376560236092769,36.7327241897583
10767.368,0.0007576674208469297,0.00038823098573842615,36.71070384979248
11031.316,0.0007797887526628473,0.0003998152401083931,36.68869590759277
11294.916,0.0008018808657877695,0.0004112461843169491,36.666717529296875
11558.163,0.0008239434328414052,0.0004226760211428257,36.64472675323486
11821.05,0.0008459757990631719,0.0004341042758903245,36.6227331161499
12083.567,0.000867977227847414,0.0004455307512397802,36.600725173950195
12345.707,0.0008899469825884764,0.00045695498737986014,36.57870960235596
12607.463,0.0009118845722159222,0.00046837673241429073,36.55668640136719
12868.828,0.0009337894238142415,0.00047979558183841104,36.53466510772705
13129.793,0.0009556607189327062,0.000492174237385305,36.51299858093262
13390.35,0.0009774978028107338,0.0005054046900714389,36.491658210754395
13650.493,0.0009993002662229604,0.0005186301071983137,36.47031784057617
13910.215,0.0010210673725637306,0.0005318499821723091,36.44898319244385
14169.508,0.0010427985489175344,0.0005450638755407402,36.427653312683105
14428.362,0.001064492976833644,0.0005582714079867031,36.406328201293945
14686.775,0.0010861504107768404,0.0005714723577366959,36.38500499725342
14944.737,0.0011077700322963961,0.0005846661907953833,36.36369037628174
15202.241,0.0011293512684768011,0.0005977199193803021,36.342445373535156
15459.28,0.0011508935464025459,0.0006106779951840814,36.32125377655029
15715.847,0.0011723962113130474,0.0006236278656405915,36.300071716308594
15971.936,0.0011969686491071334,0.0006364868864776513,36.283592224121094
16227.538,0.0012228829684178472,0.0006492956963034654,36.269235610961914
16482.646,0.0012487471891732508,0.0006620899644346514,36.254902839660645
16737.258,0.0012745610143463366,0.000674869315279351,36.240599632263184
16991.361,0.001300323354838076,0.0006876333590780878,36.22632122039795
17244.953,0.0013260338146124583,0.0007010174939015243,36.21245574951172
17498.025,0.0013516916015974634,0.0007148827743156694,36.19892501831055
17750.57,0.0013772959237210703,0.0007287293589555985,36.18542957305908
18002.586,0.0014028465829652736,0.0007425572284148918,36.17196083068848
18254.059,0.0014283421932040374,0.0007563655500746607,36.158525466918945
18504.986,0.0014537825564193562,0.0007701541818541253,36.14511585235596
18755.367,0.0014791674745932252,0.0007839227938347381,36.131744384765625
19005.188,0.0015044955615996078,0.0007976707307047169,36.118404388427734
19254.443,0.0015297664214024937,0.0008119809392751738,36.10536861419678
19503.129,0.0015549794599478677,0.0008271989975606285,36.09279823303223
19751.238,0.001580134083181714,0.0008423921800016676,36.080265045166016
19998.766,0.001605229697050017,0.0008575599860954808,36.06777286529541
20245.707,0.0016302659055167663,0.000872702298121725,36.055312156677246
20492.053,0.0016552417184919363,0.0008878182136567982,36.04289436340332
20737.799,0.0016801567399395165,0.000902907691190199,36.03050708770752
20982.94,0.0017050103758054912,0.0009179700357372225,36.01816272735596
21227.47,0.0017298022300538502,0.0009331190254500413,36.005903244018555
21471.385,0.0017545315106125728,0.0009502087633248019,35.99449825286865
21714.678,0.0017791978214456486,0.0009672656538612103,35.98312950134277
21957.34,0.0018038001724630518,0.0009842887209637564,35.97179985046387
22199.371,0.0018283385636647823,0.0010012776861699699,35.96052074432373
22440.764,0.0018528122029788192,0.001018232380970541,35.94927358627319
22681.516,0.0018772208923871578,0.001035151977161015,35.93807792663574
22921.617,0.001901563641799772,0.001052036086902766,35.9269232749939
23161.064,0.0019258400551806511,0.0010688843311662535,35.91580772399902
23399.855,0.0019500499345117901,0.0010856093677549387,35.904855728149414
23637.977,0.001974191893667153,0.001102224591501294,35.89405393600464
23875.436,0.0019982667247187605,0.001118803188338061,35.88329219818115
24112.22,0.002022273239558581,0.0011353440395166143,35.872581005096436
24348.324,0.0020462106461145947,0.0011518470550329549,35.86190366744995
24583.748,0.002070079142404806,0.0011683115770449747,35.85127830505371
24818.482,0.0020938777383391893,0.0011847372598172271,35.84069538116455
25052.527,0.0021176064339177444,0.0012011240347644498,35.830153465270996
25285.875,0.002141264437068451,0.0012174710870710705,35.81965780258179
25518.52,0.002164851153737293,0.0012361451434349713,35.81026649475098
25750.46,0.002188366583924271,0.0012552540592207276,35.80112838745117
25981.693,0.0022118101335753693,0.0012743132652732983,35.7920446395874
26212.21,0.0022351812086365717,0.001293322562023174,35.78300476074219
26442.014,0.002258479809107879,0.0013122817759378378,35.774012088775635
26671.092,0.002281704944899265,0.0013311902639218409,35.765061378479004
26899.447,0.002304856814028735,0.0013500476898488498,35.756160736083984
27127.072,0.0023279346244242686,0.0013688533365509542,35.7473087310791
27353.96,0.002350937782031849,0.001387606753709165,35.738502979278564
27580.117,0.0023749983779950837,0.0014066161170418151,35.72611951828003
27805.53,0.0024025656373710988,0.001426104314191132,35.701104164123535
28030.197,0.0024300418904667567,0.001445556393114017,35.676148891448975
28254.121,0.002457427137282058,0.0014649719666426145,35.65125751495361
28477.287,0.002484719705785605,0.0014843488679258375,35.62644624710083
28699.705,0.0025119207902855384,0.0015036887861370135,35.60169315338135
28921.365,0.0025390291964737174,0.0015229897406036038,35.57702112197876
29142.258,0.0025660437300420013,0.0015422514811280082,35.552412033081055
29362.39,0.0025929653464369018,0.001561473747991518,35.52788209915161
29581.752,0.0026197926124886506,0.0015821644370261061,35.504318714141846
29800.348,0.002646526244782132,0.0016035780276502326,35.48128795623779
30018.166,0.002673164810147576,0.0016249429647449438,35.4583420753479
30235.209,0.0026997085474466122,0.0016462595341852054,35.43547487258911
